time,ac_x,ac_x_f,ac_y,ac_y_f,
8.678,-4.809999942779541,-4.987776756286621,-0.029999999329447746,-0.11590047180652618,
8.688,-4.949999809265137,-4.961333274841309,0.6100000143051147,0.3922298550605774,
8.698,-4.650000095367432,-4.7434000968933105,0.5199999809265137,0.48166894912719727,
8.708,-4.849999904632568,-4.818019866943359,0.8299999833106995,0.7255007028579712,
8.718,-5.380000114440918,-5.2114057540893555,1.3600000143051147,1.1696501970291138,
8.728,-5.130000114440918,-5.154421806335449,1.309999942779541,1.2678951025009155,
8.738,-5.610000133514404,-5.473326683044434,1.2400000095367432,1.248368501663208,
8.748,-4.949999809265137,-5.106997966766357,0.8100000023841858,0.9415105581283569,
8.758,-4.849999904632568,-4.927099227905273,1.059999942779541,1.0244531631469727,
8.768,-5.099999904632568,-5.048130035400391,1.0800000429153442,1.0633360147476196,
8.778,-5.929999828338623,-5.665439128875732,1.4700000286102295,1.3480007648468018,
8.788,-5.25,-5.374631881713867,1.6299999952316284,1.5454002618789673,
8.798,-4.849999904632568,-5.007389545440674,1.5299999713897705,1.5346200466156006,
8.808,-4.389999866485596,-4.575216770172119,2.240000009536743,2.028386116027832,
8.818,-3.619999885559082,-3.906564950942993,2.109999895095825,2.0855157375335693,
8.828,-4.059999942779541,-4.013969421386719,2.4800000190734863,2.361654758453369,
8.838,-3.759999990463257,-3.836190700531006,2.7699999809265137,2.647496461868286,
8.849,-2.3299999237060547,-2.7818572521209717,2.5,2.5442490577697754,
8.858,-2.819999933242798,-2.8085572719573975,2.869999885559082,2.7722747325897217,
8.868,-2.690000057220459,-2.725567102432251,2.430000066757202,2.532682418823242,
8.878,-3.0199999809265137,-2.9316701889038086,3.25,3.0348048210144043,
8.888,-2.200000047683716,-2.4195010662078857,2.950000047683716,2.9754414558410645,
8.898,-2.549999952316284,-2.510850429534912,3.2899999618530273,3.1956324577331543,
8.908,-2.7200000286102295,-2.657255172729492,4.840000152587891,4.346689701080322,
8.918,-1.8200000524520874,-2.071176528930664,3.809999942779541,3.9710068702697754,
8.928,-1.600000023841858,-1.741352915763855,4.070000171661377,4.04030179977417,
